[03 February 2016 at 12:01:37 MST] - ::admin 
[03 February 2016 at 12:02:00 MST] - ::master 
[03 February 2016 at 01:31:49 MST] - ::tele 1,47,95,28,42
[03 February 2016 at 01:31:50 MST] - ::tele 0,47,95,28,42
[03 February 2016 at 01:32:04 MST] - ::tele 0,47,95,36,43
[03 February 2016 at 01:34:24 MST] - ::tele 0,47,95,36,21
[03 February 2016 at 01:35:23 MST] - ::tele 0,57,53,12,34
[03 February 2016 at 01:35:29 MST] - ::tele 0,57,53,27,25
[03 February 2016 at 01:35:31 MST] - ::tele 0,57,53,41,22
[03 February 2016 at 01:35:32 MST] - ::tele 0,57,53,47,29
[03 February 2016 at 01:35:34 MST] - ::tele 0,57,53,51,27
[03 February 2016 at 01:37:25 MST] - ::tele 4704 6238 1
[03 February 2016 at 01:38:29 MST] - ::tele 1,73,97,20,40
[03 February 2016 at 01:38:31 MST] - ::tele 1,73,97,18,29
[03 February 2016 at 01:38:32 MST] - ::tele 1,73,97,13,28
[03 February 2016 at 01:38:35 MST] - ::tele 1,73,97,20,33
[03 February 2016 at 01:38:37 MST] - ::tele 1,73,97,30,31
[03 February 2016 at 01:38:49 MST] - ::tele 4512 6289 1
[03 February 2016 at 01:38:57 MST] - ::tele 1,70,98,22,11
[03 February 2016 at 01:39:08 MST] - ::tele 1,70,97,12,56
[03 February 2016 at 01:39:10 MST] - ::tele 1,70,97,24,53
[03 February 2016 at 01:39:12 MST] - ::tele 1,70,97,30,55
[03 February 2016 at 01:39:12 MST] - ::tele 1,70,97,36,57
[03 February 2016 at 01:39:13 MST] - ::tele 1,70,97,41,58
[03 February 2016 at 01:39:14 MST] - ::tele 1,70,97,44,56
[03 February 2016 at 01:39:15 MST] - ::tele 1,70,97,51,55
[03 February 2016 at 01:39:16 MST] - ::tele 1,70,97,55,55
[03 February 2016 at 01:39:18 MST] - ::tele 1,70,98,52,6
[03 February 2016 at 01:39:43 MST] - ::tele 1,71,97,37,56
[03 February 2016 at 01:39:44 MST] - ::tele 1,71,97,44,55
[03 February 2016 at 01:39:45 MST] - ::tele 1,71,97,51,57
[03 February 2016 at 01:39:48 MST] - ::tele 1,71,97,42,59
[03 February 2016 at 01:39:49 MST] - ::tele 1,71,97,27,59
[03 February 2016 at 01:46:06 MST] - ::item 33827
[03 February 2016 at 01:46:18 MST] - ::item 33808
[03 February 2016 at 01:46:46 MST] - ::item 33792
[03 February 2016 at 01:46:59 MST] - ::item 33767
[03 February 2016 at 01:48:21 MST] - ::emote 21231
[03 February 2016 at 01:49:07 MST] - ::gfx 4235
[03 February 2016 at 01:50:19 MST] - ::tele 0,48,50,42,17
[03 February 2016 at 01:53:17 MST] - ::bank 
[03 February 2016 at 01:54:35 MST] - ::setlevel 27 1
[03 February 2016 at 01:54:56 MST] - ::setlevel 25 1
[03 February 2016 at 01:56:34 MST] - ::bank 
[03 February 2016 at 01:57:10 MST] - ::item 29312
[03 February 2016 at 01:57:16 MST] - ::item 29313
[03 February 2016 at 01:57:25 MST] - ::item 29314
[03 February 2016 at 01:57:34 MST] - ::item 29315
[03 February 2016 at 01:57:37 MST] - ::item 29316
[03 February 2016 at 01:57:39 MST] - ::item 29317
[03 February 2016 at 01:57:43 MST] - ::item 29318
[03 February 2016 at 01:57:46 MST] - ::item 29319
[03 February 2016 at 01:57:52 MST] - ::item 29320
[03 February 2016 at 01:57:56 MST] - ::item 29321
[03 February 2016 at 01:58:01 MST] - ::item 29322
[03 February 2016 at 01:58:06 MST] - ::item 29323
[03 February 2016 at 01:58:11 MST] - ::item 29324
[03 February 2016 at 01:58:17 MST] - ::item 29325
[03 February 2016 at 01:58:23 MST] - ::item 29326
[03 February 2016 at 01:58:30 MST] - ::item 29327
[03 February 2016 at 01:58:33 MST] - ::item 29328
[03 February 2016 at 01:58:36 MST] - ::item 29329
[03 February 2016 at 02:02:45 MST] - ::tele 0,51,53,39,4
[03 February 2016 at 02:12:34 MST] - ::npc 18150
[03 February 2016 at 02:17:35 MST] - ::tele 0,48,50,46,13
[03 February 2016 at 02:20:23 MST] - ::bank 
[03 February 2016 at 02:23:00 MST] - ::bank 
[03 February 2016 at 02:23:06 MST] - ::setlevel 25 1
[03 February 2016 at 02:28:08 MST] - ::item 29313
[03 February 2016 at 02:28:35 MST] - ::item 29384
[03 February 2016 at 02:28:43 MST] - ::item 29395
[03 February 2016 at 02:29:53 MST] - ::item 29386
[03 February 2016 at 02:30:18 MST] - ::bank 
[03 February 2016 at 02:31:26 MST] - ::setlevel 25 99
[03 February 2016 at 02:31:41 MST] - ::bank 
[03 February 2016 at 02:32:47 MST] - ::tele 0,51,53,40,14
[03 February 2016 at 02:32:54 MST] - ::setlevel 25 20
[03 February 2016 at 02:41:01 MST] - ::item 29383
[03 February 2016 at 02:41:19 MST] - ::item 29382
[03 February 2016 at 02:42:37 MST] - ::npc 18150
[03 February 2016 at 02:51:07 MST] - ::npc 18173
[03 February 2016 at 02:52:20 MST] - ::bank 
[03 February 2016 at 02:54:26 MST] - ::setlevel 25 20
[03 February 2016 at 02:55:36 MST] - ::npc 18150
[03 February 2016 at 02:55:46 MST] - ::bank 
[03 February 2016 at 03:04:59 MST] - ::bank 
[03 February 2016 at 03:12:32 MST] - ::npc 18154
[03 February 2016 at 03:12:51 MST] - ::bank 
[03 February 2016 at 03:15:08 MST] - ::item 18162
[03 February 2016 at 03:15:22 MST] - ::item 19355
[03 February 2016 at 03:15:29 MST] - ::item 29383
[03 February 2016 at 03:15:33 MST] - ::item 29384
[03 February 2016 at 03:15:43 MST] - ::item 29396
[03 February 2016 at 03:19:59 MST] - ::bank 
[03 February 2016 at 03:20:25 MST] - ::tele 0,42,53,49,20
[03 February 2016 at 03:22:28 MST] - ::bank 
[03 February 2016 at 03:22:47 MST] - ::tele 0,35,47,42,41
[03 February 2016 at 03:23:20 MST] - ::setlevel 25 95
[03 February 2016 at 03:24:05 MST] - ::itel 32210
[03 February 2016 at 03:24:09 MST] - ::item 32210
[03 February 2016 at 03:24:17 MST] - ::item 32213
[03 February 2016 at 03:24:23 MST] - ::item 32216
[03 February 2016 at 03:24:29 MST] - ::item 32219
[03 February 2016 at 03:24:35 MST] - ::item 32222
[03 February 2016 at 03:24:48 MST] - ::item 32237
[03 February 2016 at 03:25:00 MST] - ::item 32231
[03 February 2016 at 03:25:37 MST] - ::item 32645
[03 February 2016 at 03:25:47 MST] - ::item 32646
[03 February 2016 at 03:26:08 MST] - ::item 32633
[03 February 2016 at 03:27:06 MST] - ::tele 0,36,49,34,36
[03 February 2016 at 03:27:14 MST] - ::tele 1,36,49,35,38
[03 February 2016 at 03:27:16 MST] - ::tele 0,36,49,35,38
[03 February 2016 at 03:27:51 MST] - ::tele 0,35,50,1,31
[03 February 2016 at 03:28:07 MST] - ::tele 0,35,50,2,51
[03 February 2016 at 03:28:15 MST] - ::tele 1,35,51,2,0
[03 February 2016 at 03:29:57 MST] - ::tele 1,34,51,58,56
[03 February 2016 at 03:30:49 MST] - ::tele 0,34,52,32,30
[03 February 2016 at 03:30:55 MST] - ::tele 1,34,52,32,30
[03 February 2016 at 03:32:24 MST] - ::tele 1,33,52,63,57
[03 February 2016 at 03:32:47 MST] - ::tele 1,33,52,45,55
[03 February 2016 at 03:33:25 MST] - ::tele 0,33,52,34,19
[03 February 2016 at 03:33:30 MST] - ::tele 1,33,52,34,19
[03 February 2016 at 03:36:31 MST] - ::tele 0,34,51,55,56
[03 February 2016 at 03:36:36 MST] - ::tele 1,34,51,55,56
[03 February 2016 at 03:36:53 MST] - ::tele 1,34,51,55,46
[03 February 2016 at 03:36:54 MST] - ::tele 1,34,51,56,37
[03 February 2016 at 03:36:55 MST] - ::tele 1,34,51,48,37
[03 February 2016 at 03:41:04 MST] - ::item 15259
[03 February 2016 at 03:41:30 MST] - ::item 29522
[03 February 2016 at 03:42:39 MST] - ::item 32646
[03 February 2016 at 03:46:29 MST] - ::god 
[03 February 2016 at 03:46:38 MST] - ::tele 0,45,82,7,57
[03 February 2016 at 03:46:52 MST] - ::tele 0,44,83,58,4
[03 February 2016 at 03:46:54 MST] - ::tele 0,44,83,45,16
[03 February 2016 at 03:47:02 MST] - ::tele 0,44,83,36,22
[03 February 2016 at 03:47:08 MST] - ::tele 0,44,83,39,39
[03 February 2016 at 03:47:16 MST] - ::tele 0,44,83,44,46
[03 February 2016 at 03:47:22 MST] - ::tele 0,44,83,50,49
[03 February 2016 at 03:52:34 MST] - ::tele 0,35,47,39,41
[03 February 2016 at 03:52:40 MST] - ::bank 
[03 February 2016 at 03:54:23 MST] - ::tele 0,35,47,22,34
[03 February 2016 at 03:54:23 MST] - ::tele 0,35,47,22,34
[03 February 2016 at 03:54:32 MST] - ::object 87266
[03 February 2016 at 03:55:29 MST] - ::item 5601
[03 February 2016 at 03:55:41 MST] - ::item 6571
[03 February 2016 at 03:55:50 MST] - ::item 6571 10
[03 February 2016 at 03:57:29 MST] - ::item 6571 1
[03 February 2016 at 03:57:35 MST] - ::item 6571 2
[03 February 2016 at 03:57:57 MST] - ::bank 
[03 February 2016 at 03:58:05 MST] - ::item 6571 10
[03 February 2016 at 03:58:52 MST] - ::bank 
[03 February 2016 at 03:59:04 MST] - ::bank 
[03 February 2016 at 03:59:28 MST] - ::item 31853 10
[03 February 2016 at 03:59:32 MST] - ::bank 
[03 February 2016 at 03:59:53 MST] - ::bank 
[03 February 2016 at 04:00:05 MST] - ::tele 0,35,47,36,39
[03 February 2016 at 04:01:44 MST] - ::item 29406
[03 February 2016 at 04:01:51 MST] - ::item 29405
[03 February 2016 at 04:01:59 MST] - ::item 29384
[03 February 2016 at 04:12:04 MST] - ::bank 
[03 February 2016 at 04:12:45 MST] - ::bank 
[03 February 2016 at 04:14:15 MST] - ::item 29313
[03 February 2016 at 04:14:20 MST] - ::item 29384
[03 February 2016 at 04:14:25 MST] - ::itemc 29396
[03 February 2016 at 04:14:30 MST] - ::item 29396
[03 February 2016 at 04:18:09 MST] - ::tele 0,35,47,39,37
[03 February 2016 at 04:18:15 MST] - ::bank 
[03 February 2016 at 04:20:43 MST] - ::item 29384 10
[03 February 2016 at 04:21:24 MST] - ::item 29385 5
[03 February 2016 at 04:24:11 MST] - ::bank 
[03 February 2016 at 04:24:22 MST] - ::tele 0,35,47,39,37
[03 February 2016 at 04:27:19 MST] - ::bank 
[03 February 2016 at 04:27:31 MST] - ::bank 
[03 February 2016 at 04:27:48 MST] - ::bank 
[03 February 2016 at 04:32:30 MST] - ::item 31326
[03 February 2016 at 04:32:35 MST] - ::item 31327
[03 February 2016 at 04:32:47 MST] - ::item 31312
[03 February 2016 at 04:35:53 MST] - ::item 29403
[03 February 2016 at 04:36:51 MST] - ::item 29321
[03 February 2016 at 04:36:57 MST] - ::bank 
[03 February 2016 at 04:38:37 MST] - ::item 29373
[03 February 2016 at 04:44:54 MST] - ::bank 
[03 February 2016 at 04:53:52 MST] - ::item 1511
[03 February 2016 at 04:53:56 MST] - ::item 946
[03 February 2016 at 05:14:41 MST] - ::bank 
[03 February 2016 at 05:15:16 MST] - ::item 1625
[03 February 2016 at 05:15:30 MST] - ::item 29314
[03 February 2016 at 05:15:35 MST] - ::item 29315
[03 February 2016 at 05:15:38 MST] - ::item 29314 100
[03 February 2016 at 05:19:14 MST] - ::item 1623
[03 February 2016 at 05:23:32 MST] - ::item 25205
[03 February 2016 at 05:25:38 MST] - ::item 1755
[03 February 2016 at 05:27:00 MST] - ::item 440 15
[03 February 2016 at 05:28:09 MST] - ::bank 
[03 February 2016 at 05:28:24 MST] - ::item 1617 3
[03 February 2016 at 05:28:29 MST] - ::item 1631 6
[03 February 2016 at 05:30:07 MST] - ::item 1631 10
[03 February 2016 at 05:32:30 MST] - ::item 1511
[03 February 2016 at 05:33:02 MST] - ::item 1511
[03 February 2016 at 05:33:26 MST] - ::itemn achey logs
[03 February 2016 at 05:33:34 MST] - ::item achey logs
[03 February 2016 at 05:33:42 MST] - ::itemn achey tree logs
[03 February 2016 at 05:33:48 MST] - ::item 2862
[03 February 2016 at 05:34:23 MST] - ::item 29556
[03 February 2016 at 05:34:52 MST] - ::item 29556
[03 February 2016 at 05:38:02 MST] - ::item 25637
[03 February 2016 at 05:42:20 MST] - ::bank 
[03 February 2016 at 05:44:17 MST] - ::item 24291
[03 February 2016 at 05:44:39 MST] - ::item 590
[03 February 2016 at 05:44:42 MST] - ::item 1755
[03 February 2016 at 05:49:09 MST] - ::item 29315 100000
[03 February 2016 at 05:50:54 MST] - ::bank 
[03 February 2016 at 05:59:32 MST] - ::emote 21231
[03 February 2016 at 05:59:37 MST] - ::emote 21232
[03 February 2016 at 05:59:41 MST] - ::emote -1
[03 February 2016 at 05:59:47 MST] - ::emote 21232
[03 February 2016 at 05:59:52 MST] - ::emote 21233
[03 February 2016 at 06:00:12 MST] - ::emote 21234
[03 February 2016 at 06:00:18 MST] - ::emote 21235
[03 February 2016 at 06:00:23 MST] - ::emote 21235
[03 February 2016 at 06:00:29 MST] - ::emote 21236
[03 February 2016 at 06:00:37 MST] - ::emote 21237
[03 February 2016 at 06:00:42 MST] - ::emote 21238
[03 February 2016 at 06:00:45 MST] - ::emote 21239
[03 February 2016 at 06:00:48 MST] - ::emote 21240
[03 February 2016 at 06:00:51 MST] - ::emote 21241
[03 February 2016 at 06:00:59 MST] - ::emote 21242
